step,A_success,B_success,A_grasp,B_grasp,A_lift,B_lift,A_P_lift_given_grasp,B_P_lift_given_grasp,A_lift_mm,B_lift_mm,A_return,B_total_return
110000,0.0,0.0,0.05,0.9,0.0,0.05,0.0,0.0,0.058491364662716094,0.42613516652741934,35.76993800365049,84.93268514861353
120000,0.0,0.0,0.65,0.75,0.0,0.0,0.0,0.0,0.018740087682223017,0.03972313948892303,77.91295747805432,74.72041279891434
130000,0.0,0.0,0.6,0.95,0.0,0.0,0.0,0.0,0.11212046767456463,0.09224049916971566,75.33965531524494,87.70218575337424
140000,0.0,0.05,0.9,0.8,0.0,0.05,0.0,0.0625,0.0,0.6455034993826492,78.60097666538334,76.56750183680892
150000,0.0,0.0,0.8,0.95,0.0,0.05,0.0,0.05263157894736842,0.0,0.21070407381654221,81.58591470139996,85.3853434476218
160000,0.0,0.0,0.75,0.95,0.0,0.0,0.0,0.0,0.15101510155019482,0.04446835843954222,74.37777736457714,84.56414859269157
170000,0.05,0.05,0.9,0.9,0.05,0.1,0.05555555555555555,0.05555555555555555,0.4225303718712603,1.0014478262076187,81.0007096082362,74.06868934337982
180000,0.05,0.0,0.75,0.85,0.05,0.1,0.06666666666666667,0.058823529411764705,0.47241364097276306,0.5402999483712534,78.30509907327288,81.0040754317866
190000,0.0,0.0,0.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,89.21054983096053,94.63544486410173
200000,0.0,0.0,0.9,0.95,0.0,0.0,0.0,0.0,0.17592195396644028,0.02008093117007448,87.49471293057142,88.38743995483635
210000,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,82.81194098969895,95.60370210711184
220000,0.0,0.0,1.0,0.95,0.0,0.0,0.0,0.0,0.2177777473585496,0.0,93.05526538508778,91.97532688329318
230000,0.05,0.0,1.0,1.0,0.05,0.05,0.05,0.05,0.5639269898555344,0.30755990089688656,84.70446941332202,89.49678326158724
240000,0.05,0.0,1.0,1.0,0.05,0.0,0.05,0.0,0.5559143292361735,0.0,87.73209119095887,94.7574493105618
250000,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.13381411084535388,0.0,87.22476330521438,96.17510286324607
260000,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.58199586875597,96.68796297489402
270000,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02347143712667088,0.0,89.56624458253057,94.87006294302684
280000,0.0,0.05,1.0,0.9,0.0,0.05,0.0,0.05555555555555555,0.015132794905398095,0.5616397335872436,90.13668770844666,88.59506792225223
290000,0.0,0.05,1.0,0.9,0.0,0.05,0.0,0.05555555555555555,0.03889365182835336,0.5972686419887074,91.24329209957641,88.34393769129397
300000,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06906753452448067,0.01783986529912962,89.03194300002926,95.42679695158893
