step,episodes,success_rate,final_success_rate,mean_return,median_return,mean_return_per_step,mean_episode_length,grasp_rate,lift_rate,p_lift_given_grasp,median_object_lift_delta,mean_grasp_duration,mean_max_object_height,mean_object_lift_delta,mean_action_norm,mean_action_saturation_fraction
110000,20,0.15,0.1,45.891938474842824,33.09124062385201,0.2294596923742141,200.0,0.15,0.2,1.0,0.0,15.6,0.9360637217722741,0.10514184490838263,1.519253658056259,0.0
120000,20,0.15,0.0,54.130928557411515,46.632012927088084,0.27065464278705764,200.0,0.35,0.25,0.42857142857142855,0.0,40.25,0.8836332182249563,0.0525784316559121,1.5219370277002455,0.0025
130000,20,0.2,0.1,54.79143058679263,49.05587504181531,0.27395715293396317,200.0,0.45,0.2,0.4444444444444444,0.0,26.9,0.8803225598493635,0.049391364383511875,1.5683946319222453,0.0
140000,20,0.15,0.05,41.34041650985276,40.005162181834265,0.2067020825492638,200.0,0.55,0.2,0.2727272727272727,0.0,20.45,0.8996478558699496,0.06848720036399374,1.652663218125701,0.0
150000,20,0.35,0.15,60.21564978676709,45.16722771798676,0.3010782489338354,200.0,0.45,0.35,0.7777777777777778,0.0,54.35,1.018326526580644,0.18752871746272884,1.590998704627156,0.0
160000,20,0.45,0.2,70.55203283480012,55.207640068987835,0.3527601641740006,200.0,0.65,0.5,0.6923076923076923,0.005499309114927631,64.7,1.0143188020888902,0.18336714019425257,1.53033556060493,0.0015
170000,20,0.55,0.3,96.85747113700006,62.45382171139498,0.48428735568500025,200.0,0.7,0.55,0.7857142857142857,0.23882725006288008,75.55,1.2437514971801302,0.41295646955696663,1.6363848225399853,0.0005
180000,20,0.5,0.2,83.3060372998841,67.89070254739622,0.41653018649942053,200.0,0.75,0.55,0.7333333333333333,0.11618741733115767,65.4,1.0592833674908877,0.22820606556791279,1.721059547267854,0.0
190000,20,0.6,0.45,101.8327824661678,68.22888941637818,0.509163912330839,200.0,0.75,0.65,0.8666666666666667,0.3716562458515299,86.0,1.3056579488581945,0.4745345969297615,1.7776873825863002,0.00125
200000,20,0.45,0.25,88.01175149306921,70.07555702757317,0.44005875746534595,200.0,0.9,0.5,0.5555555555555556,0.0020538815022292933,86.05,1.121938520086077,0.2908649140947306,1.7259036630317568,0.0005
210000,20,0.5,0.5,118.23794246141229,105.8606235527566,0.5911897123070613,200.0,0.9,0.5,0.5555555555555556,0.3279254859619498,128.3,1.2789560221345349,0.44796391954756914,1.7317383945435285,0.0
220000,20,0.65,0.15,89.54748067263176,68.3936598292891,0.44773740336315876,200.0,0.85,0.65,0.7647058823529411,0.6243326951939032,85.0,1.3220777550093066,0.49108248334870747,1.7295412584245207,0.0
230000,20,0.15,0.15,73.84413809826577,57.1383939495516,0.36922069049132883,200.0,0.5,0.15,0.3,0.0,46.3,0.9636366804613401,0.1325658827659201,1.539604239031672,0.0
240000,20,0.65,0.6,119.06269984760186,165.18821014971246,0.5953134992380092,200.0,0.75,0.65,0.8666666666666667,0.8017547517294115,104.15,1.388206877116349,0.5569686958976161,1.8264526434987782,0.0
250000,20,0.65,0.5,111.21191889054266,91.7476404496681,0.5560595944527134,200.0,0.85,0.65,0.7647058823529411,0.4960536009730079,88.15,1.2736467340947941,0.44285334727768033,1.7312374055385589,0.001
260000,20,0.75,0.65,123.4438384439296,153.86798421538026,0.617219192219648,200.0,0.85,0.8,0.8823529411764706,0.7988195524174714,114.5,1.3996053445068761,0.5684136861285567,1.7668773287087678,0.005
270000,20,0.95,0.8,156.98365430438966,174.25231683162286,0.7849182715219483,200.0,1.0,0.95,0.95,0.7761895773466396,147.1,1.5302481465686748,0.6992527776511864,1.885464907541871,0.001
280000,20,0.95,0.75,153.46492397974595,177.80993046543716,0.7673246198987298,200.0,1.0,0.95,0.95,0.7988272835325053,143.95,1.5835781344863906,0.752608996633575,1.7861259976550936,0.0
290000,20,0.8,0.8,154.33643724906267,178.9903679397361,0.7716821862453134,200.0,1.0,0.85,0.85,0.7964458265773656,152.4,1.475149745373852,0.6443304693244352,1.8138477061092853,0.0
300000,20,0.75,0.75,152.08783105839578,181.25773090907,0.7604391552919787,200.0,1.0,0.75,0.75,0.768925503250473,152.7,1.4524427833371223,0.6214350114386237,1.8198909711688755,0.0
