checkpoint,episode_index,first_success_step,success_steps,success_reentry_count,final_success,success_lost_after_first_success,classification
best_model,0,44,157,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,3,33,58,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
best_model,4,28,173,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,5,25,176,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,6,25,176,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,7,21,180,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,8,106,4,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
best_model,9,146,48,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
best_model,10,42,159,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,11,27,174,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,12,32,169,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,13,26,175,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,14,28,173,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,15,33,168,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,16,25,46,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
best_model,17,27,174,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,18,28,62,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
best_model,19,29,172,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,20,27,174,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,23,21,180,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,25,28,173,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,26,87,29,1,True,False,SUCCESS_THEN_REGRASP
best_model,28,38,163,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,29,24,177,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,30,45,88,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
best_model,31,27,174,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,32,33,168,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,33,30,171,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,34,23,178,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,35,23,55,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
best_model,36,30,171,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,37,30,171,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,38,23,178,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,39,26,175,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,40,25,176,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,41,23,178,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,42,23,178,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,43,31,170,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,44,22,179,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,45,41,160,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,46,30,171,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,47,29,172,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,48,28,173,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,49,35,58,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
best_model,50,36,165,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,52,25,176,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,53,157,10,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
best_model,54,30,171,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,55,46,93,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
best_model,56,24,177,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,57,105,1,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
best_model,58,35,43,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
best_model,59,37,164,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,60,47,154,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,61,32,169,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,62,28,173,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,63,33,54,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
best_model,64,62,139,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,65,23,178,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,66,44,157,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,67,104,97,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,68,27,174,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,69,31,170,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,70,53,65,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
best_model,71,22,179,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,72,22,179,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,73,40,161,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,74,31,170,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,75,31,170,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,76,26,175,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,77,28,67,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
best_model,78,27,174,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,79,31,38,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
best_model,80,23,56,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
best_model,82,38,163,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,83,28,173,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,84,23,178,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,85,22,179,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,86,28,173,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,87,30,171,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,88,26,175,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,89,32,169,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,90,27,174,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,91,37,164,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,92,33,168,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,93,26,47,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
best_model,94,35,166,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,95,21,180,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,96,30,171,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,97,30,171,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,98,108,93,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
best_model,99,27,174,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,2,33,168,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,3,73,128,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,4,30,121,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
last_model,5,29,172,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,6,28,173,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,8,136,1,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
last_model,9,26,175,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,10,39,25,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
last_model,11,23,178,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,13,22,179,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,14,26,175,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,15,25,176,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,16,24,177,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,17,31,170,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,18,26,175,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,19,23,178,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,20,24,177,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,21,32,12,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
last_model,22,25,93,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
last_model,23,21,180,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,24,28,173,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
